Nome: PALMAS;;;;;
Codigo Estacao: A009;;;;;
Latitude: -10.14777777;;;;;
Longitude: -48.31444444;;;;;
Altitude: 267;;;;;
Situacao: Operante;;;;;
Data Inicial: 2020-01-01;;;;;
Data Final: 2023-01-31;;;;;
Periodicidade da Medicao: Diaria;;;;;
;;;;;
Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);;;;
01/01/2020;0;;;;
02/01/2020;2,2;;;;
03/01/2020;13,8;;;;
04/01/2020;6,6;;;;
05/01/2020;null;;;;
06/01/2020;2,8;;;;
07/01/2020;null;;;;
08/01/2020;1,4;;;;
09/01/2020;6,8;;;;
10/01/2020;50,4;;;;
11/01/2020;null;;;;
12/01/2020;14;;;;
13/01/2020;2,4;;;;
14/01/2020;2,6;;;;
15/01/2020;0;;;;
16/01/2020;null;;;;
17/01/2020;1;;;;
18/01/2020;8,6;;;;
19/01/2020;0;;;;
20/01/2020;null;;;;
21/01/2020;3,4;;;;
22/01/2020;0;;;;
23/01/2020;66,6;;;;
24/01/2020;null;;;;
25/01/2020;4,2;;;;
26/01/2020;9,8;;;;
27/01/2020;59,4;;;;
28/01/2020;25,2;;;;
29/01/2020;0;;;;
30/01/2020;6;;;;
31/01/2020;6,6;;;;
01/02/2020;0,4;;;;
02/02/2020;0;;;;
03/02/2020;null;;;;
04/02/2020;46;;;;
05/02/2020;0,2;;;;
06/02/2020;10;;;;
07/02/2020;5,2;;;;
08/02/2020;null;;;;
09/02/2020;6,2;;;;
10/02/2020;0;;;;
11/02/2020;0;;;;
12/02/2020;6,6;;;;
13/02/2020;null;;;;
14/02/2020;10,8;;;;
15/02/2020;0;;;;
16/02/2020;null;;;;
17/02/2020;24,2;;;;
18/02/2020;0,6;;;;
19/02/2020;25;;;;
20/02/2020;4,6;;;;
21/02/2020;null;;;;
22/02/2020;2,2;;;;
23/02/2020;0,2;;;;
24/02/2020;null;;;;
25/02/2020;3,6;;;;
26/02/2020;10;;;;
27/02/2020;null;;;;
28/02/2020;0,2;;;;
29/02/2020;17,2;;;;
01/03/2020;null;;;;
02/03/2020;1,8;;;;
03/03/2020;null;;;;
04/03/2020;15,6;;;;
05/03/2020;null;;;;
06/03/2020;9,6;;;;
07/03/2020;1,4;;;;
08/03/2020;0;;;;
09/03/2020;0,2;;;;
10/03/2020;3,6;;;;
11/03/2020;7,8;;;;
12/03/2020;1,8;;;;
13/03/2020;4,6;;;;
14/03/2020;1;;;;
15/03/2020;8;;;;
16/03/2020;0,6;;;;
17/03/2020;4,6;;;;
18/03/2020;3,8;;;;
19/03/2020;8,6;;;;
20/03/2020;20,2;;;;
21/03/2020;1;;;;
22/03/2020;6,8;;;;
23/03/2020;0;;;;
24/03/2020;0,2;;;;
25/03/2020;35,4;;;;
26/03/2020;0,2;;;;
27/03/2020;25,2;;;;
28/03/2020;1,2;;;;
29/03/2020;0;;;;
30/03/2020;0;;;;
31/03/2020;null;;;;
01/04/2020;0;;;;
02/04/2020;4;;;;
03/04/2020;0,2;;;;
04/04/2020;0;;;;
05/04/2020;0;;;;
06/04/2020;0;;;;
07/04/2020;0;;;;
08/04/2020;0;;;;
09/04/2020;0;;;;
10/04/2020;2,2;;;;
11/04/2020;0;;;;
12/04/2020;65,6;;;;
13/04/2020;0;;;;
14/04/2020;28,4;;;;
15/04/2020;4,6;;;;
16/04/2020;5,2;;;;
17/04/2020;10,6;;;;
18/04/2020;45,2;;;;
19/04/2020;15,6;;;;
20/04/2020;39;;;;
21/04/2020;26,4;;;;
22/04/2020;4,8;;;;
23/04/2020;46,6;;;;
24/04/2020;1,8;;;;
25/04/2020;22,2;;;;
26/04/2020;0,6;;;;
27/04/2020;0;;;;
28/04/2020;0;;;;
29/04/2020;0;;;;
30/04/2020;0;;;;
01/05/2020;0;;;;
02/05/2020;0;;;;
03/05/2020;0;;;;
04/05/2020;0;;;;
05/05/2020;0;;;;
06/05/2020;0;;;;
07/05/2020;0;;;;
08/05/2020;1;;;;
09/05/2020;11,6;;;;
10/05/2020;0;;;;
11/05/2020;0;;;;
12/05/2020;0;;;;
13/05/2020;0;;;;
14/05/2020;0,6;;;;
15/05/2020;0;;;;
16/05/2020;0;;;;
17/05/2020;27,6;;;;
18/05/2020;0;;;;
19/05/2020;14,2;;;;
20/05/2020;0;;;;
21/05/2020;0;;;;
22/05/2020;0;;;;
23/05/2020;0;;;;
24/05/2020;0;;;;
25/05/2020;0;;;;
26/05/2020;0;;;;
27/05/2020;5,8;;;;
28/05/2020;0;;;;
29/05/2020;27,4;;;;
30/05/2020;0,2;;;;
31/05/2020;0;;;;
01/06/2020;0;;;;
02/06/2020;0;;;;
03/06/2020;0;;;;
04/06/2020;0;;;;
05/06/2020;0;;;;
06/06/2020;0;;;;
07/06/2020;0;;;;
08/06/2020;0;;;;
09/06/2020;0;;;;
10/06/2020;0;;;;
11/06/2020;0;;;;
12/06/2020;0;;;;
13/06/2020;0;;;;
14/06/2020;0;;;;
15/06/2020;0;;;;
16/06/2020;0;;;;
17/06/2020;0;;;;
18/06/2020;0;;;;
19/06/2020;0;;;;
20/06/2020;0;;;;
21/06/2020;0;;;;
22/06/2020;0;;;;
23/06/2020;0;;;;
24/06/2020;0;;;;
25/06/2020;0;;;;
26/06/2020;0;;;;
27/06/2020;0;;;;
28/06/2020;0;;;;
29/06/2020;0;;;;
30/06/2020;0;;;;
01/07/2020;0;;;;
02/07/2020;0;;;;
03/07/2020;0;;;;
04/07/2020;0;;;;
05/07/2020;0;;;;
06/07/2020;0;;;;
07/07/2020;0;;;;
08/07/2020;0;;;;
09/07/2020;0;;;;
10/07/2020;0;;;;
11/07/2020;0;;;;
12/07/2020;0;;;;
13/07/2020;0;;;;
14/07/2020;0;;;;
15/07/2020;0;;;;
16/07/2020;0;;;;
17/07/2020;0;;;;
18/07/2020;0;;;;
19/07/2020;0;;;;
20/07/2020;0;;;;
21/07/2020;0;;;;
22/07/2020;0;;;;
23/07/2020;0;;;;
24/07/2020;0;;;;
25/07/2020;0;;;;
26/07/2020;0;;;;
27/07/2020;0;;;;
28/07/2020;0;;;;
29/07/2020;0;;;;
30/07/2020;0;;;;
31/07/2020;0;;;;
01/08/2020;0;;;;
02/08/2020;0;;;;
03/08/2020;0;;;;
04/08/2020;0;;;;
05/08/2020;0;;;;
06/08/2020;0;;;;
07/08/2020;0;;;;
08/08/2020;0;;;;
09/08/2020;0;;;;
10/08/2020;0;;;;
11/08/2020;0;;;;
12/08/2020;0;;;;
13/08/2020;0;;;;
14/08/2020;0;;;;
15/08/2020;0;;;;
16/08/2020;0;;;;
17/08/2020;0;;;;
18/08/2020;0;;;;
19/08/2020;0;;;;
20/08/2020;0;;;;
21/08/2020;0;;;;
22/08/2020;0;;;;
23/08/2020;0;;;;
24/08/2020;0;;;;
25/08/2020;0;;;;
26/08/2020;0;;;;
27/08/2020;0;;;;
28/08/2020;0;;;;
29/08/2020;0;;;;
30/08/2020;0;;;;
31/08/2020;0;;;;
01/09/2020;0;;;;
02/09/2020;0;;;;
03/09/2020;0;;;;
04/09/2020;0;;;;
05/09/2020;0;;;;
06/09/2020;0;;;;
07/09/2020;0;;;;
08/09/2020;0;;;;
09/09/2020;0;;;;
10/09/2020;0;;;;
11/09/2020;0;;;;
12/09/2020;0;;;;
13/09/2020;0;;;;
14/09/2020;0;;;;
15/09/2020;0;;;;
16/09/2020;0;;;;
17/09/2020;0;;;;
18/09/2020;0;;;;
19/09/2020;0;;;;
20/09/2020;0;;;;
21/09/2020;0;;;;
22/09/2020;0;;;;
23/09/2020;0;;;;
24/09/2020;1;;;;
25/09/2020;0;;;;
26/09/2020;0;;;;
27/09/2020;0;;;;
28/09/2020;0;;;;
29/09/2020;0;;;;
30/09/2020;0;;;;
01/10/2020;0;;;;
02/10/2020;0;;;;
03/10/2020;0;;;;
04/10/2020;0;;;;
05/10/2020;0;;;;
06/10/2020;0;;;;
07/10/2020;0;;;;
08/10/2020;0;;;;
09/10/2020;0;;;;
10/10/2020;4;;;;
11/10/2020;0,6;;;;
12/10/2020;43;;;;
13/10/2020;18,2;;;;
14/10/2020;0;;;;
15/10/2020;0;;;;
16/10/2020;0;;;;
17/10/2020;0;;;;
18/10/2020;1,4;;;;
19/10/2020;0;;;;
20/10/2020;2;;;;
21/10/2020;0;;;;
22/10/2020;0;;;;
23/10/2020;2,6;;;;
24/10/2020;11,6;;;;
25/10/2020;1,2;;;;193,8
26/10/2020;0;;;;
27/10/2020;0;;;;
28/10/2020;4;;;;
29/10/2020;21,4;;;;
30/10/2020;0,2;;;;
31/10/2020;13,2;;;;
01/11/2020;8,6;;;;
02/11/2020;17,6;;;;
03/11/2020;10,4;;;;
04/11/2020;3;;;;
05/11/2020;0;;;;
06/11/2020;1;;;;
07/11/2020;29,8;;;;
08/11/2020;0;;;;
09/11/2020;0,8;;;;
10/11/2020;0;;;;
11/11/2020;0;;;;
12/11/2020;0;;;;
13/11/2020;0;;;;
14/11/2020;5,6;;;;
15/11/2020;0;;;;
16/11/2020;0;;;;
17/11/2020;0;;;;
18/11/2020;1,2;;;;
19/11/2020;3,6;;;;
20/11/2020;0;;;;
21/11/2020;0;;;;
22/11/2020;6,4;;;;
23/11/2020;5;;;;
24/11/2020;0;;;;
25/11/2020;0;;;;
26/11/2020;0;;;;
27/11/2020;0;;;;
28/11/2020;0;;;;
29/11/2020;0;;;;
30/11/2020;0;;;;
01/12/2020;0;;;;
02/12/2020;0;;;;
03/12/2020;0;;;;
04/12/2020;0;;;;
05/12/2020;6,8;;;;
06/12/2020;4,6;;;;
07/12/2020;0;;;;
08/12/2020;1,4;;;;
09/12/2020;0;;;;
10/12/2020;51,6;;;;
11/12/2020;22,8;;;;
12/12/2020;0,2;;;;
13/12/2020;0;;;;
14/12/2020;0;;;;
15/12/2020;6,4;;;;
16/12/2020;0;;;;
17/12/2020;0;;;;
18/12/2020;3,4;;;;
19/12/2020;4,2;;;;
20/12/2020;4,4;;;;
21/12/2020;0;;;;
22/12/2020;15,2;;;;
23/12/2020;21,6;;;;
24/12/2020;2;;;;
25/12/2020;0;;;;
26/12/2020;16;;;;
27/12/2020;5,2;;;;
28/12/2020;1,6;;;;
29/12/2020;0;;;;
30/12/2020;0;;;;
31/12/2020;0;;;;
01/01/2021;null;;;;
02/01/2021;null;;;;
03/01/2021;null;;;;
04/01/2021;null;;;;
05/01/2021;null;;;;
06/01/2021;0,2;;;;
07/01/2021;0;;;;
08/01/2021;0;;;;
09/01/2021;75,4;;;;
10/01/2021;0,6;;;;
11/01/2021;20;;;;
12/01/2021;0;;;;
13/01/2021;0;;;;
14/01/2021;27,2;;;;
15/01/2021;12,4;;;;
16/01/2021;3,4;;;;
17/01/2021;0,2;;;;
18/01/2021;26;;;;
19/01/2021;2;;;;
20/01/2021;0;;;;
21/01/2021;2,6;;;;
22/01/2021;2,2;;;;
23/01/2021;3,8;;;;
24/01/2021;0,2;;;;
25/01/2021;0,2;;;;
26/01/2021;8,2;;;;
27/01/2021;0,2;;;;
28/01/2021;4,8;;;;
29/01/2021;2;;;;
30/01/2021;7;;;;
31/01/2021;9,8;;;;
01/02/2021;0,8;;;;
02/02/2021;0,2;;;;
03/02/2021;2,4;;;;
04/02/2021;37,6;;;;
05/02/2021;7,2;;;;
06/02/2021;72,2;;;;
07/02/2021;40;;;;
08/02/2021;9,6;;;;
09/02/2021;0,6;;;;
10/02/2021;66,8;;;;
11/02/2021;8,6;;;;
12/02/2021;2,8;;;;
13/02/2021;6;;;;
14/02/2021;14,2;;;;
15/02/2021;6,6;;;;
16/02/2021;0;;;;
17/02/2021;0,8;;;;
18/02/2021;28,2;;;;
19/02/2021;3,4;;;;
20/02/2021;2,8;;;;
21/02/2021;18,8;;;;
22/02/2021;5;;;;
23/02/2021;6,4;;;;
24/02/2021;0;;;;
25/02/2021;3,6;;;;
26/02/2021;41,4;;;;
27/02/2021;0;;;;
28/02/2021;12,6;;;;
01/03/2021;14,4;;;;
02/03/2021;30;;;;
03/03/2021;7,6;;;;
04/03/2021;3,4;;;;
05/03/2021;3,4;;;;
06/03/2021;9;;;;
07/03/2021;0,2;;;;
08/03/2021;0,8;;;;
09/03/2021;33,2;;;;
10/03/2021;0;;;;
11/03/2021;35,2;;;;
12/03/2021;0;;;;
13/03/2021;0,6;;;;
14/03/2021;37,4;;;;
15/03/2021;16,6;;;;
16/03/2021;0;;;;
17/03/2021;0;;;;
18/03/2021;51,4;;;;
19/03/2021;44,8;;;;
20/03/2021;23,8;;;;
21/03/2021;8;;;;
22/03/2021;0,4;;;;
23/03/2021;0,2;;;;
24/03/2021;0;;;;
25/03/2021;0;;;;
26/03/2021;1,4;;;;
27/03/2021;0,2;;;;
28/03/2021;13,6;;;;
29/03/2021;5;;;;
30/03/2021;0,4;;;;
31/03/2021;0;;;;
01/04/2021;45,2;;;;
02/04/2021;14,6;;;;
03/04/2021;0,6;;;;
04/04/2021;5,6;;;;
05/04/2021;0;;;;
06/04/2021;0;;;;
07/04/2021;0;;;;
08/04/2021;0;;;;
09/04/2021;0;;;;
10/04/2021;0,2;;;;
11/04/2021;0;;;;
12/04/2021;0;;;;
13/04/2021;3;;;;
14/04/2021;1,6;;;;
15/04/2021;23,2;;;;
16/04/2021;5,4;;;;
17/04/2021;0,2;;;;
18/04/2021;11,2;;;;
19/04/2021;0,2;;;;
20/04/2021;0,4;;;;
21/04/2021;0;;;;
22/04/2021;7,2;;;;
23/04/2021;0,6;;;;
24/04/2021;3,4;;;;
25/04/2021;5,2;;;;
26/04/2021;16,2;;;;
27/04/2021;30,2;;;;
28/04/2021;2,6;;;;
29/04/2021;0,6;;;;
30/04/2021;12,6;;;;
01/05/2021;0;;;;
02/05/2021;0;;;;
03/05/2021;0;;;;
04/05/2021;0;;;;
05/05/2021;0;;;;
06/05/2021;0;;;;
07/05/2021;5,2;;;;
08/05/2021;0,2;;;;
09/05/2021;0;;;;
10/05/2021;0;;;;
11/05/2021;0;;;;
12/05/2021;0;;;;
13/05/2021;0;;;;
14/05/2021;0;;;;
15/05/2021;0;;;;
16/05/2021;0;;;;
17/05/2021;0;;;;
18/05/2021;0;;;;
19/05/2021;0;;;;
20/05/2021;0;;;;
21/05/2021;0;;;;
22/05/2021;0;;;;
23/05/2021;0;;;;
24/05/2021;0;;;;
25/05/2021;0;;;;
26/05/2021;0;;;;
27/05/2021;0;;;;
28/05/2021;0;;;;
29/05/2021;0;;;;
30/05/2021;0;;;;
31/05/2021;0;;;;
01/06/2021;0;;;;
02/06/2021;0;;;;
03/06/2021;0;;;;
04/06/2021;0;;;;
05/06/2021;0;;;;
06/06/2021;0;;;;
07/06/2021;0;;;;
08/06/2021;0;;;;
09/06/2021;0;;;;
10/06/2021;0;;;;
11/06/2021;0;;;;
12/06/2021;0;;;;
13/06/2021;0;;;;
14/06/2021;0;;;;
15/06/2021;0;;;;
