Nome: PALMAS;;;;;;
Codigo Estacao: A009;;;;;;
Latitude: -10.14777777;;;;;;
Longitude: -48.31444444;;;;;;
Altitude: 267;;;;;;
Situacao: Operante;;;;;;
Data Inicial: 2020-01-01;;;;;;
Data Final: 2023-12-31;;;;;;
Periodicidade da Medicao: Horaria;;;;;;
;;;;;;
Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);;;;
01/01/2020;0;-3,5;;;;
01/01/2020;100;-3,3;;;;
01/01/2020;200;-3,1;;;;
01/01/2020;300;-2,8;;;;
01/01/2020;400;-2,9;;;;
01/01/2020;500;-3,5;;;;
01/01/2020;600;-3,5;;;;
01/01/2020;700;-2,7;;;;
01/01/2020;800;-2;;;;
01/01/2020;900;-0,5;;;;
01/01/2020;1000;149,1;;;;
01/01/2020;1100;280,3;;;;
01/01/2020;1200;947,2;;;;
01/01/2020;1300;964,9;;;;
01/01/2020;1400;2079,6;;;;
01/01/2020;1500;2538,2;;;;
01/01/2020;1600;1936,7;;;;
01/01/2020;1700;2495,5;;;;
01/01/2020;1800;2063;;;;
01/01/2020;1900;551,4;;;;
01/01/2020;2000;516,3;;;;
01/01/2020;2100;195,4;;;;
01/01/2020;2200;null;;;;
01/01/2020;2300;null;;;;
02/01/2020;0;-3,5;;;;
02/01/2020;100;-3,1;;;;
02/01/2020;200;-3,5;;;;
02/01/2020;300;-3;;;;
02/01/2020;400;-2,9;;;;
02/01/2020;500;-3,2;;;;
02/01/2020;600;-3,4;;;;
02/01/2020;700;-3,3;;;;
02/01/2020;800;-3;;;;
02/01/2020;900;-1,7;;;;
02/01/2020;1000;125,6;;;;
02/01/2020;1100;415,8;;;;
02/01/2020;1200;422,9;;;;
02/01/2020;1300;1266;;;;
02/01/2020;1400;2106,4;;;;
02/01/2020;1500;3163,7;;;;
02/01/2020;1600;1790,2;;;;
02/01/2020;1700;603,5;;;;
02/01/2020;1800;325,4;;;;
02/01/2020;1900;136,6;;;;
02/01/2020;2000;39,5;;;;
02/01/2020;2100;101,7;;;;
02/01/2020;2200;null;;;;
02/01/2020;2300;null;;;;
03/01/2020;0;-2,8;;;;
03/01/2020;100;-2,6;;;;
03/01/2020;200;-2,8;;;;
03/01/2020;300;-2,7;;;;
03/01/2020;400;-2,5;;;;
03/01/2020;500;-2,8;;;;
03/01/2020;600;-3,3;;;;
03/01/2020;700;-2,4;;;;
03/01/2020;800;-3,2;;;;
03/01/2020;900;-1,7;;;;
03/01/2020;1000;162,9;;;;
03/01/2020;1100;709,8;;;;
03/01/2020;1200;989,2;;;;
03/01/2020;1300;1274,8;;;;
03/01/2020;1400;2019,4;;;;
03/01/2020;1500;2188,3;;;;
03/01/2020;1600;1910,1;;;;
03/01/2020;1700;2019,7;;;;
03/01/2020;1800;349,5;;;;
03/01/2020;1900;133,7;;;;
03/01/2020;2000;380,8;;;;
03/01/2020;2100;161,7;;;;
03/01/2020;2200;null;;;;
03/01/2020;2300;null;;;;
04/01/2020;0;-2,8;;;;
04/01/2020;100;-3,1;;;;
04/01/2020;200;-3,2;;;;
04/01/2020;300;-2,6;;;;
04/01/2020;400;-3,4;;;;
04/01/2020;500;-3,3;;;;
04/01/2020;600;-3,1;;;;
04/01/2020;700;-2,3;;;;
04/01/2020;800;-2,5;;;;
04/01/2020;900;-2,5;;;;
04/01/2020;1000;49;;;;
04/01/2020;1100;251,2;;;;
04/01/2020;1200;603,7;;;;
04/01/2020;1300;1458,5;;;;
04/01/2020;1400;1576,8;;;;
04/01/2020;1500;1908,5;;;;
04/01/2020;1600;1819,2;;;;
04/01/2020;1700;2609,6;;;;
04/01/2020;1800;419;;;;
04/01/2020;1900;264,4;;;;
04/01/2020;2000;317,8;;;;
04/01/2020;2100;134,2;;;;
04/01/2020;2200;null;;;;
04/01/2020;2300;null;;;;
05/01/2020;0;null;;;;
05/01/2020;100;-2,5;;;;
05/01/2020;200;-3,2;;;;
05/01/2020;300;-1,6;;;;
05/01/2020;400;-3;;;;
05/01/2020;500;-1,6;;;;
05/01/2020;600;-0,8;;;;
05/01/2020;700;-1,4;;;;
05/01/2020;800;-2,1;;;;
05/01/2020;900;-0,8;;;;
05/01/2020;1000;69,4;;;;
05/01/2020;1100;398,3;;;;
05/01/2020;1200;486,4;;;;
05/01/2020;1300;670,5;;;;
05/01/2020;1400;1251,6;;;;
05/01/2020;1500;1695,7;;;;
05/01/2020;1600;1468,8;;;;
05/01/2020;1700;1531,7;;;;
05/01/2020;1800;2267,3;;;;
05/01/2020;1900;1538,1;;;;
05/01/2020;2000;1144,9;;;;
05/01/2020;2100;501,1;;;;
05/01/2020;2200;29,9;;;;
05/01/2020;2300;null;;;;
06/01/2020;0;-3,4;;;;
06/01/2020;100;-2,6;;;;
06/01/2020;200;-3,5;;;;
06/01/2020;300;-3,5;;;;
06/01/2020;400;-3,1;;;;
06/01/2020;500;-2,3;;;;
06/01/2020;600;-2,3;;;;
06/01/2020;700;-3;;;;
06/01/2020;800;-1,1;;;;
06/01/2020;900;-0,4;;;;
06/01/2020;1000;104,9;;;;
06/01/2020;1100;372,8;;;;
06/01/2020;1200;1145,6;;;;
06/01/2020;1300;1490,6;;;;
06/01/2020;1400;1219,2;;;;
06/01/2020;1500;1817,3;;;;
06/01/2020;1600;1813,5;;;;
06/01/2020;1700;905,1;;;;
06/01/2020;1800;141,8;;;;
06/01/2020;1900;36,6;;;;
06/01/2020;2000;27,5;;;;
06/01/2020;2100;40,2;;;;
06/01/2020;2200;null;;;;
06/01/2020;2300;null;;;;
07/01/2020;0;null;;;;
07/01/2020;100;-3,3;;;;
07/01/2020;200;-2,7;;;;
07/01/2020;300;-2,2;;;;
07/01/2020;400;-3;;;;
07/01/2020;500;-3;;;;
07/01/2020;600;-2,1;;;;
07/01/2020;700;-2,1;;;;
07/01/2020;800;-2,1;;;;
07/01/2020;900;-1,5;;;;
07/01/2020;1000;120,5;;;;
07/01/2020;1100;358;;;;
07/01/2020;1200;1321,1;;;;
07/01/2020;1300;2102,8;;;;
07/01/2020;1400;2037,5;;;;
07/01/2020;1500;2318,6;;;;
07/01/2020;1600;3398,7;;;;
07/01/2020;1700;3365,3;;;;
07/01/2020;1800;2910,5;;;;
07/01/2020;1900;1854,1;;;;
07/01/2020;2000;1025,4;;;;
07/01/2020;2100;1069,7;;;;
07/01/2020;2200;94,1;;;;
07/01/2020;2300;null;;;;
08/01/2020;0;null;;;;
08/01/2020;100;-3,5;;;;
08/01/2020;200;-3,5;;;;
08/01/2020;300;-3,5;;;;
08/01/2020;400;-3,3;;;;
08/01/2020;500;-3;;;;
08/01/2020;600;-2,6;;;;
08/01/2020;700;-3,5;;;;
08/01/2020;800;-2,9;;;;
08/01/2020;900;-2,3;;;;
08/01/2020;1000;47,1;;;;
08/01/2020;1100;288,8;;;;
08/01/2020;1200;421,6;;;;
08/01/2020;1300;1796,4;;;;
08/01/2020;1400;1863,7;;;;
08/01/2020;1500;2374,1;;;;
08/01/2020;1600;3267,6;;;;
08/01/2020;1700;366;;;;
08/01/2020;1800;1016,2;;;;
08/01/2020;1900;910,9;;;;
08/01/2020;2000;588,7;;;;
08/01/2020;2100;371,7;;;;
08/01/2020;2200;43,8;;;;
08/01/2020;2300;null;;;;
09/01/2020;0;-3,5;;;;
09/01/2020;100;-3,5;;;;
09/01/2020;200;-3,5;;;;
09/01/2020;300;-3,4;;;;
09/01/2020;400;-2,8;;;;
09/01/2020;500;-2,6;;;;
09/01/2020;600;-2,2;;;;
09/01/2020;700;-3,1;;;;
09/01/2020;800;-3,3;;;;
09/01/2020;900;-2,4;;;;
09/01/2020;1000;77,9;;;;
09/01/2020;1100;300,8;;;;
09/01/2020;1200;522,1;;;;
09/01/2020;1300;338,5;;;;
09/01/2020;1400;1066,7;;;;
09/01/2020;1500;1683,4;;;;
09/01/2020;1600;378,4;;;;
09/01/2020;1700;145,9;;;;
09/01/2020;1800;116,8;;;;
09/01/2020;1900;702,3;;;;
09/01/2020;2000;712,9;;;;
09/01/2020;2100;250,2;;;;
09/01/2020;2200;null;;;;
09/01/2020;2300;null;;;;
10/01/2020;0;-3,5;;;;
10/01/2020;100;-3,4;;;;
10/01/2020;200;-3,5;;;;
10/01/2020;300;-3,5;;;;
10/01/2020;400;-3,5;;;;
10/01/2020;500;-3,5;;;;
10/01/2020;600;-3,5;;;;
10/01/2020;700;-3,3;;;;
10/01/2020;800;-3;;;;
10/01/2020;900;-1,6;;;;
10/01/2020;1000;86,9;;;;
10/01/2020;1100;247,3;;;;
