Nome: PALMAS;
Codigo Estacao: A009;
Latitude: -10.14777777;
Longitude: -48.31444444;
Altitude: 267;
Situacao: Operante;
Data Inicial: 2020-01-01;
Data Final: 2023-12-31;
Periodicidade da Medicao: Diaria;
;
Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
01/01/2020;26,3
02/01/2020;25,1
03/01/2020;24,9
04/01/2020;null
05/01/2020;24,8
06/01/2020;null
07/01/2020;26,1
08/01/2020;26,1
09/01/2020;24,4
10/01/2020;null
11/01/2020;26,4
12/01/2020;26,5
13/01/2020;26,6
14/01/2020;26,9
15/01/2020;null
16/01/2020;28,2
17/01/2020;28,2
18/01/2020;28,9
19/01/2020;null
20/01/2020;26,5
21/01/2020;28
22/01/2020;25,8
23/01/2020;null
24/01/2020;24,1
25/01/2020;26,6
26/01/2020;27,3
27/01/2020;24,6
28/01/2020;25,6
29/01/2020;26,6
30/01/2020;27,6
31/01/2020;28,8
01/02/2020;27,8
02/02/2020;null
03/02/2020;25,5
04/02/2020;26
05/02/2020;25,3
06/02/2020;25,9
07/02/2020;null
08/02/2020;24,8
09/02/2020;24,8
10/02/2020;27,2
11/02/2020;29
12/02/2020;null
13/02/2020;27,6
14/02/2020;29
15/02/2020;null
16/02/2020;26,7
17/02/2020;26,9
18/02/2020;26,4
19/02/2020;25,5
20/02/2020;null
21/02/2020;26,6
22/02/2020;27,1
23/02/2020;null
24/02/2020;27,7
25/02/2020;26,3
26/02/2020;null
27/02/2020;27,9
28/02/2020;27,1
29/02/2020;null
01/03/2020;27,4
02/03/2020;null
03/03/2020;25,5
04/03/2020;null
05/03/2020;26
06/03/2020;25,7
07/03/2020;27,1
08/03/2020;26,9
09/03/2020;26,7
10/03/2020;26
11/03/2020;25,8
12/03/2020;26,5
13/03/2020;27,5
14/03/2020;26,4
15/03/2020;25,5
16/03/2020;25,7
17/03/2020;26,8
18/03/2020;26,8
19/03/2020;24,8
20/03/2020;24,6
21/03/2020;25,8
22/03/2020;27
23/03/2020;27,2
24/03/2020;25,8
25/03/2020;25,6
26/03/2020;24,6
27/03/2020;24,9
28/03/2020;28
29/03/2020;29,2
30/03/2020;29,6
31/03/2020;28,7
01/04/2020;29,1
02/04/2020;28,1
03/04/2020;28,4
04/04/2020;28,5
05/04/2020;29,4
06/04/2020;29,3
07/04/2020;28,6
08/04/2020;28,9
09/04/2020;28,3
10/04/2020;26,7
11/04/2020;27
12/04/2020;26,4
13/04/2020;26,3
14/04/2020;25
15/04/2020;24,9
16/04/2020;26,2
17/04/2020;25,9
18/04/2020;24,5
19/04/2020;25,8
20/04/2020;25,8
21/04/2020;24,1
