Nome: PALMAS;;;;
Codigo Estacao: A009;;;;
Latitude: -10.14777777;;;;
Longitude: -48.31444444;;;;
Altitude: 267;;;;
Situacao: Operante;;;;
Data Inicial: 2020-01-01;;;;
Data Final: 2023-12-31;;;;
Periodicidade da Medicao: Horaria;;;;
;;;;
Data Medicao;Hora Medicao;TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);;
01/01/2020;0;26,2;;
01/01/2020;100;25,7;;
01/01/2020;200;25,4;;
01/01/2020;300;25,6;;
01/01/2020;400;25,1;;
01/01/2020;500;24,7;;
01/01/2020;600;24,5;;
01/01/2020;700;24,5;;
01/01/2020;800;24,4;;
01/01/2020;900;24,4;;
01/01/2020;1000;24,6;;
01/01/2020;1100;25,3;;
01/01/2020;1200;26,5;;
01/01/2020;1300;27,4;;
01/01/2020;1400;28,5;;
01/01/2020;1500;29,6;;
01/01/2020;1600;29,6;;
01/01/2020;1700;30,8;;
01/01/2020;1800;28;;
01/01/2020;1900;26,3;;
01/01/2020;2000;27,1;;
01/01/2020;2100;26,2;;
01/01/2020;2200;null;;
01/01/2020;2300;null;;
02/01/2020;0;24,1;;
02/01/2020;100;24,1;;
02/01/2020;200;24,3;;
02/01/2020;300;23,7;;
02/01/2020;400;23,7;;
02/01/2020;500;23,6;;
02/01/2020;600;23,6;;
02/01/2020;700;23,6;;
02/01/2020;800;23,8;;
02/01/2020;900;24,3;;
02/01/2020;1000;24,4;;
02/01/2020;1100;26;;
02/01/2020;1200;25,9;;
02/01/2020;1300;28,2;;
02/01/2020;1400;29;;
02/01/2020;1500;30,8;;
02/01/2020;1600;28;;
02/01/2020;1700;27;;
02/01/2020;1800;26,3;;
02/01/2020;1900;23,8;;
02/01/2020;2000;22,8;;
02/01/2020;2100;23,2;;
02/01/2020;2200;null;;
02/01/2020;2300;null;;
03/01/2020;0;23;;
03/01/2020;100;23,2;;
03/01/2020;200;23;;
03/01/2020;300;22,9;;
03/01/2020;400;22,8;;
03/01/2020;500;22,7;;
03/01/2020;600;22,7;;
03/01/2020;700;22,5;;
03/01/2020;800;22,4;;
03/01/2020;900;22,6;;
03/01/2020;1000;23,9;;
03/01/2020;1100;25,6;;
03/01/2020;1200;26,3;;
03/01/2020;1300;27,2;;
03/01/2020;1400;28,2;;
03/01/2020;1500;29,5;;
03/01/2020;1600;29,6;;
03/01/2020;1700;29,5;;
03/01/2020;1800;25,2;;
03/01/2020;1900;24,2;;
03/01/2020;2000;24,6;;
03/01/2020;2100;24,6;;
03/01/2020;2200;null;;
03/01/2020;2300;null;;
04/01/2020;0;24;;
04/01/2020;100;23,7;;
04/01/2020;200;23,3;;
04/01/2020;300;23,4;;
04/01/2020;400;23,3;;
04/01/2020;500;23,2;;
04/01/2020;600;23,2;;
04/01/2020;700;23,1;;
04/01/2020;800;23,1;;
04/01/2020;900;23;;
04/01/2020;1000;23,1;;
04/01/2020;1100;23,2;;
04/01/2020;1200;23,5;;
04/01/2020;1300;25,7;;
04/01/2020;1400;26,6;;
04/01/2020;1500;28,5;;
04/01/2020;1600;26,4;;
04/01/2020;1700;29,3;;
04/01/2020;1800;24,6;;
04/01/2020;1900;24,6;;
04/01/2020;2000;25,3;;
04/01/2020;2100;23,2;;
04/01/2020;2200;null;;
04/01/2020;2300;null;;
05/01/2020;0;null;;
05/01/2020;100;22,4;;
05/01/2020;200;22,3;;
05/01/2020;300;22,5;;
05/01/2020;400;22,5;;
05/01/2020;500;22,5;;
05/01/2020;600;22,5;;
05/01/2020;700;22,4;;
05/01/2020;800;22,4;;
05/01/2020;900;22,5;;
05/01/2020;1000;23;;
05/01/2020;1100;23,9;;
05/01/2020;1200;23,9;;
05/01/2020;1300;24,4;;
05/01/2020;1400;26;;
05/01/2020;1500;26,9;;
05/01/2020;1600;27,6;;
05/01/2020;1700;28,1;;
05/01/2020;1800;29,3;;
05/01/2020;1900;27,7;;
05/01/2020;2000;28,3;;
05/01/2020;2100;27,5;;
05/01/2020;2200;26,8;;
05/01/2020;2300;null;;
06/01/2020;0;25,5;;
06/01/2020;100;25;;
06/01/2020;200;24,5;;
06/01/2020;300;24,1;;
06/01/2020;400;24;;
06/01/2020;500;23,6;;
06/01/2020;600;23,5;;
06/01/2020;700;23,4;;
06/01/2020;800;23,4;;
06/01/2020;900;23,7;;
06/01/2020;1000;23,9;;
06/01/2020;1100;24,8;;
